qid	type
Q15	continent
Q18	continent
Q46	continent
Q48	continent
Q49	continent
Q51	continent
Q55643	continent
Q16	country
Q17	country
Q20	country
Q27	country
Q28	country
Q29	country
Q30	country
Q31	country
Q32	country
Q33	country
Q34	country
Q36	country
Q37	country
Q38	country
Q39	country
Q40	country
Q41	country
Q43	country
Q45	country
Q77	country
Q79	country
Q96	country
Q114	country
Q115	country
Q117	country
Q142	country
Q145	country
Q148	country
Q155	country
Q159	country
Q183	country
Q184	country
Q189	country
Q191	country
Q211	country
Q212	country
Q213	country
Q214	country
Q215	country
Q217	country
Q218	country
Q219	country
Q221	country
Q222	country
Q224	country
Q225	country
Q227	country
Q228	country
Q229	country
Q230	country
Q232	country
Q233	country
Q235	country
Q236	country
Q238	country
Q241	country
Q242	country
Q244	country
Q252	country
Q258	country
Q262	country
Q265	country
Q298	country
Q334	country
Q347	country
Q398	country
Q399	country
Q403	country
Q408	country
Q414	country
Q419	country
Q423	country
Q424	country
Q574	country
Q657	country
Q664	country
Q668	country
Q672	country
Q678	country
Q683	country
Q685	country
Q686	country
Q691	country
Q695	country
Q697	country
Q702	country
Q709	country
Q710	country
Q711	country
Q712	country
Q717	country
Q730	country
Q733	country
Q734	country
Q736	country
Q739	country
Q750	country
Q754	country
Q757	country
Q760	country
Q763	country
Q766	country
Q769	country
Q774	country
Q778	country
Q781	country
Q783	country
Q784	country
Q786	country
Q790	country
Q792	country
Q794	country
Q796	country
Q800	country
Q801	country
Q804	country
Q805	country
Q810	country
Q811	country
Q813	country
Q817	country
Q819	country
Q822	country
Q826	country
Q833	country
Q836	country
Q837	country
Q842	country
Q843	country
Q846	country
Q851	country
Q854	country
Q858	country
Q863	country
Q869	country
Q874	country
Q878	country
Q881	country
Q884	country
Q889	country
Q902	country
Q912	country
Q916	country
Q917	country
Q921	country
Q924	country
Q928	country
Q929	country
Q945	country
Q948	country
Q953	country
Q954	country
Q958	country
Q962	country
Q963	country
Q965	country
Q967	country
Q970	country
Q971	country
Q974	country
Q977	country
Q983	country
Q986	country
Q1000	country
Q1005	country
Q1006	country
Q1007	country
Q1008	country
Q1009	country
Q1011	country
Q1013	country
Q1014	country
Q1016	country
Q1019	country
Q1020	country
Q1025	country
Q1027	country
Q1028	country
Q1029	country
Q1030	country
Q1032	country
Q1033	country
Q1036	country
Q1037	country
Q1039	country
Q1041	country
Q1042	country
Q1044	country
Q1045	country
Q1049	country
Q1050	country
Q29999	country
Q756617	country
Q60	city
Q61	city
Q64	city
Q70	city
Q84	city
Q85	city
Q90	city
Q174	city
Q216	city
Q220	city
Q239	city
Q269	city
Q270	city
Q384	city
Q437	city
Q472	city
Q585	city
Q597	city
Q649	city
Q727	city
Q956	city
Q987	city
Q994	city
Q1085	city
Q1218	city
Q1297	city
Q1335	city
Q1354	city
Q1362	city
Q1435	city
Q1461	city
Q1486	city
Q1489	city
Q1490	city
Q1491	city
Q1519	city
Q1520	city
Q1524	city
Q1530	city
Q1533	city
Q1555	city
Q1563	city
Q1741	city
Q1748	city
Q1754	city
Q1757	city
Q1761	city
Q1764	city
Q1770	city
Q1773	city
Q1780	city
Q1781	city
Q1842	city
Q1844	city
Q1848	city
Q1850	city
Q1858	city
Q1861	city
Q1863	city
Q1865	city
Q1899	city
Q1930	city
Q1947	city
Q1953	city
Q1963	city
Q2280	city
Q2449	city
Q2467	city
Q2471	city
Q2807	city
Q2841	city
Q2844	city
Q2868	city
Q2887	city
Q2900	city
Q2907	city
Q2933	city
Q3001	city
Q3037	city
Q3043	city
Q3070	city
Q3110	city
Q3114	city
Q3238	city
Q3274	city
Q3306	city
Q3551	city
Q3561	city
Q3572	city
Q3579	city
Q3604	city
Q3616	city
Q3624	city
Q3630	city
Q3640	city
Q3642	city
Q3659	city
Q3674	city
Q3688	city
Q3692	city
Q3703	city
Q3711	city
Q3718	city
Q3726	city
Q3733	city
Q3739	city
Q3748	city
Q3751	city
Q3761	city
Q3766	city
Q3768	city
Q3777	city
Q3780	city
Q3787	city
Q3792	city
Q3799	city
Q3805	city
Q3808	city
Q3820	city
Q3825	city
Q3826	city
Q3832	city
Q3838	city
Q3844	city
Q3856	city
Q3859	city
Q3861	city
Q3866	city
Q3870	city
Q3876	city
Q3881	city
Q3882	city
Q3889	city
Q3894	city
Q3897	city
Q3901	city
Q3904	city
Q3909	city
Q3915	city
Q3919	city
Q3921	city
Q3926	city
Q3929	city
Q3932	city
Q3935	city
Q3940	city
Q5465	city
Q5838	city
Q8684	city
Q9248	city
Q9270	city
Q9279	city
Q9310	city
Q9326	city
Q9347	city
Q9361	city
Q9365	city
Q10717	city
Q11194	city
Q12919	city
Q18808	city
Q19660	city
Q19689	city
Q21197	city
Q23430	city
Q23438	city
Q23564	city
Q23661	city
Q23800	city
Q31026	city
Q34126	city
Q34261	city
Q34692	city
Q34820	city
Q35178	city
Q35381	city
Q36168	city
Q36260	city
Q36262	city
Q36281	city
Q36526	city
Q37400	city
Q37701	city
Q37806	city
Q38807	city
Q38834	city
Q39178	city
Q40921	city
Q41295	city
Q41474	city
Q41547	city
Q41699	city
Q41963	city
Q42751	city
Q101418	city
Q131233	city
Q131694	city
Q167551	city
Q515229	city
Q1140136	city
